,pvalue,weighted_pvalue,log2FoldChange
Socs3,3.95E-19,2.44E-19,-1.577736876
Tmem273,4.33E-19,3.62E-19,6.593561409
Mapre2,6.23E-19,3.87E-19,1.496224304
Btla,7.36E-19,6.74E-19,-2.519834278
Gm14085,7.43E-19,7.07E-19,-7.043019492
Slc17a9,8.19E-19,7.49E-19,-1.30926716
Phactr2,8.51E-19,8.73E-19,2.442827793
Ptpn3,8.98E-19,9.22E-19,4.515474676
Smim3,9.47E-19,7.42E-19,1.973357999
Ralgps2,1.01E-18,9.81E-19,-2.095297785
Gm15340,1.11E-18,1.42E-18,-4.049160064
Gabrr2,1.23E-18,1.34E-18,-3.491956506
Cd2ap,1.31E-18,1.29E-18,-1.363690366
Plcd1,1.34E-18,1.37E-18,3.200291481
Arhgef1,1.62E-18,1.03E-18,-0.637039643
Pacsin2,1.73E-18,1.65E-18,1.076617221
Ikzf3,1.94E-18,1.68E-18,1.178913436
Pdcd1,2.64E-18,1.63E-18,3.117679455
Whrn,2.70E-18,3.44E-18,-2.842147643
Slco4a1,3.33E-18,3.30E-18,2.13582011
Galnt6,3.46E-18,2.14E-18,-0.76154941
Tent4a,3.46E-18,3.16E-18,0.936298799
Hist1h1c,4.08E-18,2.50E-18,1.517840538
Rhbdf2,4.49E-18,4.28E-18,1.629447226
Gramd4,5.35E-18,3.39E-18,-1.705054902
Rasa4,5.88E-18,5.83E-18,1.768714143
Src,6.13E-18,7.81E-18,4.119619204
Cep170b,6.16E-18,5.73E-18,2.578649225
Tubb2a,6.25E-18,4.71E-18,-1.837191872
Lcn4,7.24E-18,7.14E-18,-1.780831388
1700025G04Rik,7.86E-18,4.80E-18,-1.869805953
Tbc1d2,9.04E-18,9.28E-18,3.23909998
Gimap6,9.38E-18,5.79E-18,-1.283787651
Ptpre,1.07E-17,9.75E-18,1.30849533
Scml4,1.07E-17,1.02E-17,-1.170208907
Gm32633,1.19E-17,1.18E-17,-3.780711664
Traf5,1.40E-17,1.34E-17,-1.197245074
Tgfbr3,1.55E-17,1.42E-17,1.888135274
Rasal1,1.82E-17,1.87E-17,-2.574527501
Coro2a,2.38E-17,2.76E-17,1.647947608
Iqce,2.43E-17,1.83E-17,0.90960458
Swap70,2.60E-17,1.59E-17,2.979714612
Itgav,3.30E-17,3.22E-17,1.325792886
Nckap5l,3.79E-17,3.72E-17,-1.554487265
Rgmb,3.79E-17,4.81E-17,-2.080003075
Dnajc27,3.94E-17,3.87E-17,-2.1166123
Fgl2,3.99E-17,2.45E-17,6.0761237
Reep5,4.70E-17,4.49E-17,1.433108147
Gm13842,4.75E-17,4.71E-17,-3.006828612
Rgs2,4.88E-17,4.23E-17,1.53767524
Matk,5.02E-17,6.47E-17,2.120550936
Tcf12,5.06E-17,4.83E-17,-0.896181113
Mgmt,5.25E-17,5.39E-17,-3.154835093
Prrc1,5.55E-17,5.08E-17,0.926486507
Parp16,5.70E-17,5.85E-17,1.933633431
Ccr5,5.73E-17,5.43E-17,2.578475044
Plekha1,6.17E-17,5.89E-17,-1.268878705
S1pr1,8.46E-17,5.18E-17,-2.209469227
Rundc3a,8.76E-17,9.55E-17,-2.341302994
Trp53i13,9.96E-17,1.28E-16,1.413418165
Ppp1r14b,1.01E-16,9.85E-17,-1.059091314
