"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Zfp451",0.227242179086789,0.99106797140436,0.426157514614546,0.533235180171179,"7",2046.26742221226,"1",-0.0127823357341226
"Oscp1",0.2275416156554,0.868171512503712,0.860472717893557,0.264437919905727,"1",12.1561417373978,"4",0.0311807233540293
"Fhdc1",0.228735414350255,0.868724185772393,0.860472717893557,0.265825295321624,"1",19.8201714131942,"4",0.031061792732014
"Fnip1",0.228758578884158,0.798761014165074,1.24935888413412,0.18310077415642,"5",635.160201939652,"4",0.0223602302481738
"Gab3",0.228816087184361,0.837193327307644,1.04683188032768,0.218579593805202,"6",1176.66772923992,"3",-0.0223204262541454
"Gm29243",0.22916274323535,0.65603767565129,2.29843693809047,0.0997037331925831,"3",96.7913293164822,"1",-0.0236492987999614
"Gm30122",0.22885641588547,0.942286690900076,0.556142136275827,0.411507060799229,"1",17.7481522961441,"3",0.0273628999414423
"Gm3511",0.228484066129844,0.798761014165074,1.24935888413412,0.1828810512587,"5",473.611215645225,"4",0.0215578096322846
"Gm45890",0.228449660090223,0.868724185772393,0.860472717893557,0.265493205466723,"1",12.4984942470603,"4",-0.029252817720437
"Gm7461",0.22813848127815,0.916466342586616,0.653849882954857,0.34891568726319,"1",14.7312517697737,"1",0.0282253998548452
"Helz",0.22909410016439,1,0.360076695051267,0.636236955384665,"8",3481.51816953294,"4",0.0158864003897282
"Hint2",0.229047102798945,0.806545825479495,1.21744066041288,0.188138206852124,"5",512.771395380406,"3",0.0160501565696009
"Ikzf4",0.227897026395488,0.758069419462974,1.461768176112,0.155905040292809,"4",224.845700929812,"5",0.0195889499096757
"Ms4a4b",0.229012622098763,0.935938467985136,0.587679299586752,0.389689788733076,"9",31245.4822969259,"1",-0.0129388530667238
"Ndufa2",0.228808663746135,0.852169026586044,0.940907035775772,0.243178821122837,"8",2249.05337017051,"2",0.0180887469714199
"Pbx4",0.229137791284402,0.759004206043491,1.46147216400106,0.156785600799329,"4",143.692899056,"2",-0.0258014708433127
"Pcsk4",0.227728234950818,0.725159618763756,1.6640513982361,0.136851683302698,"3",93.8453819298011,"5",-0.0244722099594106
"Ptprc",0.228768439285442,0.852169026586044,0.940907035775772,0.243136070394908,"9",74688.547055224,"2",-0.00936437189119296
"Rab5b",0.22858386484212,0.787825734670716,1.31357991171978,0.174015956549496,"5",519.060638932922,"1",-0.0233334549414869
"Rad54l2",0.22886053985935,0.806545825479495,1.21744066041288,0.187984964935978,"5",455.265228722169,"3",0.0240207494314817
"Rnf219",0.228926227437653,0.806545825479495,1.21744066041288,0.188038920402096,"5",429.007472775219,"3",-0.0191180857069317
"Sema3c",0.227801702706866,1,0.243044014746729,0.937285795514254,"2",45.9869672173799,"1",0.027714861748139
"Swsap1",0.228240454425365,0.713905707475922,1.75383380266939,0.130138017683304,"4",238.408426388881,"4",-0.0212379269342124
"Syt11",0.229065441639305,0.838132763999168,1.04295095128194,0.219632036729771,"7",1422.82785161435,"5",0.0194797187577928
"Tbc1d16",0.229065669964103,0.934271122670609,0.589659428901602,0.388471138994248,"2",42.9808028928418,"5",0.0277517903850727
"Tmem240",0.228686875014524,0.942286690900076,0.556142136275827,0.411202209107751,"2",33.7079404014052,"3",0.0255868551001968
"Vps33a",0.228893783667322,0.822638556210204,1.10969705170479,0.206266911600495,"7",1991.98894608685,"2",-0.0134318787940559
"Wfikkn2",0.228531307088868,0.795200936978369,1.27181989474669,0.179688419746244,"3",58.7879086701135,"3",-0.0285585834882203
"Xpo7",0.228197721122093,0.836673283945129,1.04683188032768,0.217988891445169,"8",3981.9281476078,"3",-0.0161286280591927
"Zfhx2",0.22882426772345,0.726388576891649,1.6640513982361,0.137510336499224,"3",106.115834797193,"5",-0.0223894033605096
"Fam136a",0.229302326596168,0.798854684752356,1.24935888413412,0.183535995547899,"5",583.883818577004,"4",0.0151382084869742
