"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Abcb9",0.00145950982850181,0.0106562162273605,1,0.00145950982850181,"7",1672.6034053303,"4",-0.591106230178568
"Inppl1",0.00147002246739922,0.0102752951979105,1.05426310651072,0.00139436015385622,"4",187.578390288102,"1",1.21911684800662
"Klhl25",0.00147338044276748,0.0102752951979105,1.05724001657859,0.00139361017334133,"7",2114.23246975684,"1",0.600311388226022
"Acat2",0.00149193484643173,0.0108595788719842,1,0.00149193484643173,"6",879.01125340738,"2",0.439498780372604
"Sh3kbp1",0.00149175331892489,0.0108595788719842,1,0.00149175331892489,"9",17214.6736430515,"3",-0.289032284199592
"Gmfb",0.00150379845061347,0.010449370400183,1.05724001657859,0.00142238132026067,"7",2082.76295285996,"1",0.338165047689884
"Rabif",0.0015019033085704,0.0109265574036474,1,0.0015019033085704,"7",1944.48553176257,"3",0.329333457289474
"Stx2",0.00150286395072361,0.0109279678702617,1,0.00150286395072361,"7",1745.50420757499,"4",-0.525080314865497
"Uba7",0.00150394434761269,0.0109302472423132,1,0.00150394434761269,"9",7097.05632496947,"3",-0.339394865395095
"Krba1",0.00150798498131594,0.0104730626544533,1.05724001657859,0.0014263411880644,"6",927.768434972256,"1",-0.536389081801295
"Mgme1",0.00150732310648476,0.0109492196297761,1,0.00150732310648476,"4",291.582913339867,"3",0.557315611861058
"Lrrk1",0.00151295916467912,0.0101121134641319,1.10714576536761,0.00136654017204028,"7",1392.05815879239,"5",1.24507488734965
"Gm15706",0.00151421365943045,0.0109936694213972,1,0.00151421365943045,"3",101.464859249947,"2",-0.943133100956439
"Scd2",0.00151614738321253,0.0110021041270595,1,0.00151614738321253,"7",1447.59087680475,"2",-0.645785589371802
"Lmntd1",0.00152323498663113,0.029681853790475,0.295991304758967,0.00514621531828963,"1",15.260572366045,"1",1.69462150127853
"Zfp472",0.00152416319014997,0.0105528007490138,1.05724001657859,0.00144164349272592,"6",983.687388572589,"1",0.447630264453014
"Pank3",0.00153035173595348,0.0110810800783434,1,0.00153035173595348,"5",646.831797452296,"2",0.514889102597691
"Rexo5",0.00153083029860458,0.0110810800783434,1,0.00153083029860458,"6",1179.76401653261,"4",0.458368799512862
"Socs6",0.00153091823423085,0.0110810800783434,1,0.00153091823423085,"6",849.844852089769,"2",-0.44723917949703
"Kcnh4",0.00153409438832093,0.0110984331077918,1,0.00153409438832093,"2",21.0468286498264,"2",-1.53111089150996
