,pvalue,weighted_pvalue,log2FoldChange
6330415G19Rik,0.011621631,0.01980417,-0.72755982
Brdt,0.01584807,0.023968524,-0.726910783
Tfb2m,0.000214046,0.000212033,-0.726753347
Rpl23,9.07E-05,8.66E-05,-0.725528521
Srfbp1,1.21E-07,9.52E-08,-0.725351943
Tmc8,0.000495121,0.000469358,-0.724665235
Traf3ip3,6.83E-05,4.33E-05,-0.724042961
Rpl5,0.000567458,0.000527678,-0.723638999
Tmem120b,0.005168153,0.005303261,-0.723582675
Pogz,8.69E-07,8.47E-07,-0.72338822
Gm40773,0.027194649,0.042062909,-0.722949163
Neil1,0.000312642,0.000235777,-0.722432693
Cbarp,0.010277413,0.008602571,-0.720549553
Dnaaf5,5.52E-07,7.12E-07,-0.720208668
Gm26615,0.022307443,0.036683646,-0.719879678
Gtf2ird1,0.008946096,0.008823609,-0.719329251
Vamp1,0.000964919,0.000940735,-0.719181573
Trbc2,2.24E-05,1.42E-05,-0.718814878
Rpp38,0.001611532,0.001348911,-0.718529519
Gm11769,0.004834956,0.004961353,-0.718114096
Pwp2,1.21E-05,1.11E-05,-0.717606659
Rpl26,0.000227076,0.000211158,-0.717162993
Nlrc4,0.02378609,0.04053336,-0.716863368
Taf4b,0.001216303,0.001160209,-0.716619046
Gtf2h4,0.000627092,0.000611374,-0.716157858
Gm10132,0.000165401,0.000129655,-0.715566465
Zc4h2,0.011536735,0.011838332,-0.715496769
Tnfaip8l2,1.40E-07,1.05E-07,-0.714123846
Tmem243,7.35E-06,7.01E-06,-0.713827827
C1qbp,6.62E-08,7.69E-08,-0.713310318
Macrod1,0.000656562,0.000673726,-0.713275654
Usp44,0.029970319,0.044711092,-0.712684717
Rmnd5a,6.97E-05,6.63E-05,-0.712322695
mt-Co1,0.00015085,9.24E-05,-0.710804612
Gm15500,0.00557182,0.00607024,-0.710408353
Kif2c,0.021269042,0.017802966,-0.710012449
Fam234a,0.00063643,0.000479959,-0.709994419
Stx1a,6.39E-05,6.23E-05,-0.709033343
BC005561,0.000200001,0.000194988,-0.70845369
Magi3,0.001439634,0.001413886,-0.707593717
Cox7a2l,2.96E-06,3.82E-06,-0.706444518
Gm23245,0.009257301,0.012820592,-0.705122591
Ulk1,0.000111294,0.000143528,-0.704755077
Zmynd8,5.76E-08,5.50E-08,-0.704321265
Rpl18a,3.37E-05,2.92E-05,-0.704234622
Jpt2,9.71E-05,9.96E-05,-0.703935896
Abhd17c,8.14E-06,7.46E-06,-0.703841133
Rpl18,2.82E-05,2.44E-05,-0.703724038
Gm3788,0.011536572,0.009656533,-0.702912978
Utrn,0.00039153,0.000242843,-0.702772626
4930481A15Rik,4.15E-05,4.26E-05,-0.702334788
Tmem131l,6.15E-06,7.14E-06,-0.702286972
Yeats2,4.99E-08,4.57E-08,-0.702273847
Mrpl23,1.57E-05,1.61E-05,-0.702102558
Arhgef18,1.95E-06,1.21E-06,-0.701378204
Ly9,6.12E-08,3.74E-08,-0.701264558
1700113A16Rik,0.013591826,0.036979215,-0.700891074
Pde8a,0.00133267,0.001367509,-0.700539276
Trbj1-1,0.000136244,0.000134962,-0.700127112
Gm17334,0.00030774,0.000396874,-0.699863298
Csrnp2,0.00325144,0.002975562,-0.698691557
1700007L15Rik,0.009079106,0.009891265,-0.697447964
Tctex1d1,0.023329169,0.039754731,-0.696511779
Slc16a13,0.00415973,0.004531833,-0.696460447
Pheta1,0.000909997,0.000991399,-0.696457502
Rpl30,0.000334779,0.000306493,-0.695301148
Slc30a4,0.002899766,0.002872489,-0.695114308
Det1,8.93E-05,8.70E-05,-0.695087371
Rps27rt,0.006511728,0.017792078,-0.694637573
Zbtb18,0.00137344,0.00175069,-0.69433283
Magef1,3.63E-05,3.95E-05,-0.693720883
Foxo1,5.78E-05,3.58E-05,-0.692631174
Rpl4,2.14E-05,1.33E-05,-0.691758811
Runx1,9.69E-06,9.24E-06,-0.690573386
Zfhx2,0.001313575,0.001251327,-0.690416017
Kdm5b,9.28E-05,8.85E-05,-0.69025937
Hmg20a,5.14E-06,3.88E-06,-0.68990383
Xrra1,0.032268702,0.048595478,-0.689559046
Chac2,0.008227369,0.014020081,-0.688640897
Rack1,0.000216381,0.000137255,-0.688631235
Rpl23a,0.00024631,0.000240137,-0.687381128
Glt8d2,0.026075399,0.036112256,-0.68725295
Gm37593,0.025078398,0.029259843,-0.687192987
Cyth3,0.001405444,0.001284778,-0.687097755
Zpbp,0.000367965,0.000377584,-0.686021329
Tpcn1,0.00077727,0.000990766,-0.685215078
Sbk2,0.031177544,0.046512086,-0.684420595
Setd4,1.40E-05,1.38E-05,-0.684054537
Amacr,0.001686474,0.00167061,-0.683369325
Ppan,2.35E-05,2.19E-05,-0.682247125
Jmjd8,9.67E-05,9.92E-05,-0.681756418
Nefh,1.85E-05,1.83E-05,-0.681699715
Zcchc18,0.00019555,0.000192872,-0.680828383
Vars2,5.07E-06,3.97E-06,-0.679133427
Sesn3,0.000225059,0.000290244,-0.678837178
Mrps18b,2.73E-05,2.71E-05,-0.678794548
Sars2,1.64E-08,9.99E-09,-0.678425649
Gm20735,0.004540402,0.004659099,-0.678047881
Tmc6,3.27E-19,2.84E-19,-0.67798085
Eno2,0.027031913,0.046064497,-0.67768011
Tspan3,4.40E-08,4.29E-08,-0.676660453
Foxp1,1.61E-06,1.02E-06,-0.675649679
Gm31024,0.005638903,0.006143324,-0.674403318
Socs5,0.000439458,0.000478769,-0.673965604
Trbj2-1,0.00117989,0.001123977,-0.673624872
Cenpa,0.000686602,0.000654937,-0.673209585
Nifk,4.04E-06,3.83E-06,-0.672695379
Lsm4,4.83E-09,4.58E-09,-0.672244391
Thumpd2,0.000472242,0.0004678,-0.672184497
Gpr132,0.000923638,0.000875577,-0.671813004
She,0.020565687,0.022405363,-0.670346596
Mrps28,7.35E-05,7.25E-05,-0.669583707
Cdk20,0.003564662,0.003883534,-0.66950259
Gm47467,0.023548588,0.035463308,-0.669301919
Fam117a,3.25E-05,2.97E-05,-0.66880771
Ston2,0.026808014,0.037126867,-0.668581893
Zfas1,0.000145789,8.90E-05,-0.667879051
Ift172,0.001896024,0.001862113,-0.667515571
Gm5525,0.004263103,0.00406108,-0.667370043
Bin2,8.12E-10,4.97E-10,-0.666065047
Dnah11,0.025371702,0.035137694,-0.665581103
Gm49405,0.007141999,0.00680355,-0.663009947
Acsf2,0.002049087,0.002029812,-0.662996115
Gm45838,0.025481328,0.038373944,-0.661973431
Dck,0.004740424,0.004339891,-0.661429555
Cyb5a,9.42E-05,7.10E-05,-0.659694108
Stat5a,0.000157869,0.000149654,-0.65895272
Klhdc8b,0.006243472,0.006801974,-0.658165407
Hmgb1-ps8,0.018968213,0.032323321,-0.65813764
Bach1,0.000886098,0.000877763,-0.65744588
Prkag2,6.34E-06,6.25E-06,-0.657093358
Ube2e3,0.000527508,0.000522546,-0.656506204
Gm6204,0.017014034,0.019850868,-0.656483999
Lztfl1,0.005208579,0.006639244,-0.656438578
Gpx1,0.000392196,0.000240133,-0.656086039
Ly6c2,0.001557986,0.000988266,-0.655689431
2610035D17Rik,0.000121964,0.000119782,-0.655688691
Tnip1,7.89E-06,4.83E-06,-0.65551248
Prss36,0.014359051,0.039233422,-0.655443159
Rad9b,0.001438153,0.001203787,-0.653460432
Dlg5,0.02042876,0.022256188,-0.652888239
Tmem38a,0.011988312,0.013060711,-0.651269657
Trbv1,0.001987086,0.001212382,-0.650825773
Dync2li1,0.018136962,0.049555857,-0.650381182
Gtf2a2,7.16E-08,4.37E-08,-0.650094603
E430021H15Rik,0.012360387,0.013466069,-0.649743234
Pclaf,0.017913328,0.018381624,-0.649544099
Rpl19,0.000216567,0.000137374,-0.649153354
Tgif1,0.002915722,0.001808446,-0.648595063
Csad,0.00052454,0.000538253,-0.647951847
Smyd2,0.000655918,0.000649748,-0.647463271
Aldh4a1,8.35E-06,8.14E-06,-0.647311837
Cytip,0.000118379,7.34E-05,-0.645915364
Nipal1,5.02E-05,5.47E-05,-0.645651924
Add3,1.19E-05,7.30E-06,-0.645212466
Isoc1,6.58E-07,6.27E-07,-0.64415016
A930029G22Rik,0.00807832,0.006761849,-0.64387403
Gm11696,0.015949378,0.015799348,-0.643742213
Irgc1,0.024715991,0.03422959,-0.64303913
Rpl21,0.000339116,0.000215109,-0.642618573
Gm37802,0.033648522,0.05088982,-0.64246937
AI506816,0.000152429,0.000139342,-0.642084911
Serpine2,0.025242438,0.027500466,-0.641929822
Pus1,0.000215547,0.000210145,-0.641825122
Ppdpf,9.52E-06,8.71E-06,-0.641501369
Cox10,5.73E-05,3.49E-05,-0.640899296
Tnfsf4,0.015327555,0.041701606,-0.640735096
Ankrd37,0.003413887,0.003719272,-0.640516747
Hmmr,0.029127631,0.027747315,-0.640416886
Syt6,0.037284286,0.036933566,-0.640092655
Cnp,0.000124327,7.71E-05,-0.639572356
2410004B18Rik,6.26E-05,5.57E-05,-0.639166221
Rnf145,1.17E-05,7.21E-06,-0.639092821
Itgb3bp,0.001974623,0.0025063,-0.638562038
Ctsl,0.008736865,0.007995562,-0.638060096
Cdk5rap3,3.84E-09,3.57E-09,-0.637849287
Arhgef1,1.62E-18,1.03E-18,-0.637039643
Rps24-ps3,0.015692393,0.026741066,-0.636961089
Rpf2,6.93E-05,4.23E-05,-0.636901558
Tuba3a,0.033077846,0.054395119,-0.636275757
Tsc22d1,0.006570772,0.004009029,-0.635868674
Tle6,0.036798178,0.062706978,-0.63586554
Zfp446,0.000327647,0.000321787,-0.634802637
44075,2.39E-13,1.47E-13,-0.634497637
Gm37472,0.017227229,0.018768268,-0.634304086
Hspb11,0.001734796,0.002201898,-0.633943098
Gm43481,0.000537876,0.000524395,-0.632295706
Uhrf1,0.013602216,0.013474265,-0.632181282
Ppp2r3d,9.90E-06,6.04E-06,-0.632147706
Gm49327,0.022199959,0.033118915,-0.630523439
Fastkd2,1.48E-05,1.32E-05,-0.630165396
Gm48226,0.003445659,0.003753886,-0.629847933
Rag2,0.011567523,0.031606092,-0.629750952
Gcsh,0.000529601,0.000672198,-0.629483712
Rag1,0.029332373,0.029056454,-0.628843441
Rpl34,0.000311157,0.000296033,-0.628221027
Ttc3,2.93E-05,2.79E-05,-0.627827214
Ap1ar,3.58E-05,3.33E-05,-0.627601982
Prpf19,0.007602201,0.007206627,-0.626518546
Gpr137b-ps,0.008969016,0.009771327,-0.625455698
Trmo,1.83E-05,1.82E-05,-0.624539306
Aurka,0.000450591,0.00046237,-0.624358272
Rpl37,0.00038438,0.000235348,-0.624072009
Kcnrg,0.006996617,0.019035662,-0.623720435
Rpap3,2.91E-05,1.77E-05,-0.623522136
Spindoc,0.001590828,0.001575863,-0.623489091
Gm16433,0.026286043,0.039585814,-0.623399928
Gar1,0.000719931,0.000707055,-0.62324823
Gm19589,0.033553268,0.050745758,-0.621787429
Gm15743,0.020152617,0.054829129,-0.620903313
Gm13450,0.013523333,0.013876864,-0.62060502
mt-Nd1,0.000308936,0.0001908,-0.618530441
Qtrt2,0.001153132,0.001142285,-0.617927674
Trbj2-2,0.004638941,0.004760213,-0.617226951
Arhgap15,1.24E-12,7.67E-13,-0.616805902
Peli1,0.000497708,0.000315708,-0.61604007
Tbrg4,0.002301862,0.002051026,-0.615865751
mt-Cytb,6.35E-05,3.89E-05,-0.615335479
Slc43a2,0.000190321,0.000245445,-0.615283429
Lars2,0.003207225,0.00198079,-0.615161117
Pmm1,0.000226867,0.000287952,-0.615156539
Zfp286,0.025989381,0.030322718,-0.614761995
Tmem9,0.000283392,0.000259347,-0.614188527
Gm13563,0.007496068,0.007140841,-0.614105291
Lyrm2,0.000885041,0.001128139,-0.613796569
Rad54b,0.035989952,0.049843087,-0.613773617
Gm12366,0.030736281,0.083624052,-0.613209131
Smim4,5.17E-05,5.04E-05,-0.613029412
Mybbp1a,3.44E-07,2.13E-07,-0.612637079
Alg8,0.00222906,0.002198541,-0.612525291
Pecr,0.003151377,0.003002037,-0.612287825
Cmas,7.89E-08,7.51E-08,-0.611250493
P3h4,0.028462152,0.048501736,-0.610683211
Spryd4,6.39E-06,6.27E-06,-0.610564772
Cdc42bpg,0.007326491,0.007518023,-0.610408977
Fiz1,2.16E-06,1.63E-06,-0.61034495
1700097N02Rik,0.004206983,0.004316963,-0.609890605
Slc35b3,5.66E-05,5.40E-05,-0.609519737
1700026D11Rik,0.024947568,0.029107199,-0.609292182
Yeats4,4.10E-06,3.75E-06,-0.608629959
Kif20a,0.010525296,0.011466822,-0.60862825
Nutf2,0.000678115,0.000738775,-0.608590994
Lrrc6,0.043473923,0.07408297,-0.608292213
Timm21,2.14E-05,1.90E-05,-0.607959228
Tnfrsf23,0.008040345,0.008759583,-0.607299248
Nip7,1.02E-07,9.77E-08,-0.607274923
Pxmp4,0.000485838,0.000473661,-0.60698514
Il4ra,0.003608537,0.00220943,-0.606842648
Rpgrip1,0.007275216,0.007465407,-0.606622848
Gemin6,0.008919967,0.009717891,-0.606464185
Gm47917,0.031938205,0.08726517,-0.606331411
Zfp213,0.002154471,0.00274625,-0.605771575
Paip2b,0.002501868,0.002229238,-0.605537451
Sla,0.000153589,0.000133161,-0.604569835
Frat1,0.003260568,0.003552237,-0.604386355
Gm48942,0.006548361,0.007134136,-0.604081164
Hnrnpa1,0.000215985,0.000162884,-0.603962806
Gm9396,0.024335699,0.02839331,-0.603587705
Rps15a-ps4,0.004848794,0.004975553,-0.60301544
Cd1d2,0.037817653,0.064444243,-0.602659026
mt-Nd4,0.001198676,0.001136304,-0.602583959
Gm39822,0.03323462,0.050263836,-0.602266464
Elp6,0.00090072,0.000924267,-0.601898059
Ndc80,3.91E-05,3.84E-05,-0.60169869
Mir150,0.011435967,0.01173493,-0.600787563
Gm44292,0.005677248,0.005623844,-0.600416197
Gm16279,0.009111275,0.009349465,-0.600151717
3110082I17Rik,0.008913551,0.007460968,-0.599851657
Nacc2,0.010048725,0.010311422,-0.599711482
Ifrd2,0.002388841,0.002346116,-0.598837576
Igtp,0.004454937,0.002825869,-0.598760642
Trav8d-1,0.028178476,0.032876812,-0.598702602
Nop10,4.01E-05,3.80E-05,-0.598617597
Trbj2-5,0.001696996,0.001420448,-0.598002038
Tgfb3,0.029331093,0.034221611,-0.597679744
Mtss1,0.004117376,0.004043735,-0.597038607
Rps11,2.39E-05,1.51E-05,-0.596483134
Pus7,4.45E-05,4.07E-05,-0.594800215
Arap2,0.000621672,0.00072191,-0.594072059
Kcnb1,0.035722426,0.097189834,-0.593729374
Prrg1,0.014712195,0.014015005,-0.593558699
mt-Nd2,0.001231683,0.000760691,-0.593097856
Ccar2,0.000122459,0.000142204,-0.592751089
Itgb3,0.007703598,0.007904988,-0.592631931
Rasa2,2.33E-05,2.22E-05,-0.592354975
Itga6,0.004479121,0.004165128,-0.592006877
Rpl13a,0.002574125,0.003281172,-0.591854254
Map4k5,0.005052139,0.005004615,-0.591565523
Mrps27,0.000333396,0.00033026,-0.591358601
Gstm4,0.013545249,0.014756921,-0.591288233
Trp53,0.000317783,0.000201577,-0.590789824
Gm15564,0.004689254,0.004065573,-0.590445297
Cd81,0.045146955,0.049185516,-0.590417252
Fggy,0.029888402,0.034871843,-0.589775369
Il17re,0.046367622,0.076249593,-0.589219321
Cct5,2.78E-06,2.41E-06,-0.588967273
Arrb1,0.010621877,0.010355649,-0.588519857
Eif2a,0.000571408,0.000522925,-0.588151813
Glcci1,0.024641463,0.034126374,-0.58731592
Gm47283,0.011353623,0.011069055,-0.586825722
Sumo3,7.76E-08,7.11E-08,-0.586348406
Mgrn1,2.91E-05,2.66E-05,-0.585544056
Spc24,0.025404584,0.027677118,-0.585295634
Gas5,0.001026205,0.000636493,-0.585018204
Zfp940,0.005037156,0.005168839,-0.584426104
Bcl10,7.20E-05,6.85E-05,-0.583826953
Timm10,0.000251748,0.000319532,-0.583512077
Rps25,0.000169086,0.000157233,-0.58337623
Usp12,0.002320103,0.001818694,-0.583077685
Nfkbiz,0.00065876,0.000408589,-0.582917739
Nkrf,0.011496264,0.011796803,-0.582803302
Gm7285,0.00909599,0.008664944,-0.582575336
Ctnnbl1,2.40E-06,2.29E-06,-0.582289205
Lipa,0.003953363,0.003747653,-0.582167816
Snrpd3,2.87E-05,3.33E-05,-0.582071393
Csk,0.000894555,0.000567437,-0.58146077
Gata6,0.036699036,0.056763675,-0.580627858
5830405F06Rik,0.028982623,0.043646765,-0.580596974
Daxx,0.000922912,0.001071721,-0.580291972
Hdac8,0.002195563,0.002391964,-0.580251917
Mif,4.78E-05,4.56E-05,-0.580173344
Rpl7l1,2.82E-05,2.68E-05,-0.579946548
Naca,4.68E-05,2.97E-05,-0.579500667
Mrpl30,4.32E-05,2.64E-05,-0.579125738
Trav6-5,0.024430285,0.028503667,-0.578852073
Wdr59,0.001979238,0.00196062,-0.578538182
Washc4,6.06E-05,5.77E-05,-0.578275184
Tacc2,0.012396122,0.007563253,-0.576686916
Ggact,0.009426438,0.011964552,-0.575854501
Grk2,1.98E-07,1.23E-07,-0.575371214
Stk38,0.000199093,0.000126289,-0.575360273
Farsb,0.000244249,0.000283631,-0.575126389
Exo1,0.020433704,0.019465381,-0.574913522
Atad5,0.002971879,0.003237724,-0.57481639
Anapc5,2.15E-11,1.37E-11,-0.574777924
Pank4,1.12E-06,1.04E-06,-0.573542932
Gm6807,0.015417888,0.017988588,-0.573261237
Tcof1,2.65E-07,1.62E-07,-0.572948218
Gprasp2,0.037409517,0.03838749,-0.570274405
Twnk,6.52E-06,5.97E-06,-0.570142759
Trmt10a,0.002551071,0.002527074,-0.568751664
Wdr24,0.000276305,0.000252582,-0.568327483
Mrm3,7.03E-05,6.85E-05,-0.568102012
Galnt12,0.000266574,0.000343784,-0.567652381
Kcnmb4,0.034633441,0.094227037,-0.567125217
Yae1d1,0.008235441,0.007845175,-0.56696959
Mthfd1l,2.39E-06,3.08E-06,-0.566903788
Pbx2,0.002720913,0.002964308,-0.566643769
Ccdc28a,0.000754309,0.000743982,-0.566375205
Traf4,0.000482958,0.000460685,-0.56631263
Nob1,3.88E-05,4.50E-05,-0.566177318
Olfml3,0.033982051,0.03702187,-0.56617728
Plk2,0.011609053,0.009100164,-0.565786542
Nusap1,0.031753189,0.034593628,-0.565575014
Gm36445,0.020219282,0.025663421,-0.565387235
Ccm2,9.17E-05,5.67E-05,-0.564641733
Gm4129,0.026392286,0.072111985,-0.564360949
Mtln,0.007052092,0.008989123,-0.5639513
Slc29a1,7.78E-05,7.42E-05,-0.56367163
Bmyc,0.00309384,0.003926872,-0.56326995
Eif3k,0.000107084,0.000101512,-0.563097485
Pou6f1,0.012132366,0.009149533,-0.562631402
Rpl38,0.00387483,0.002922174,-0.562598358
Gm42632,0.0395054,0.05471169,-0.56039404
Chchd1,0.000887558,0.000541526,-0.560270495
Gm47772,0.025509773,0.069700684,-0.560121362
Snx18,0.000887442,0.000825231,-0.559966899
Nrn1,0.020416353,0.055546674,-0.559947496
Rpl18-ps1,0.015359907,0.015215422,-0.559129702
1110020A21Rik,0.025608153,0.06967198,-0.559021608
Gm10744,0.049874933,0.075109816,-0.558907974
Zc3h12d,0.002396787,0.001462353,-0.558684245
Ptpn18,7.29E-05,6.50E-05,-0.558151362
Pced1b,0.001327949,0.001362665,-0.557758784
Gm37962,0.037192648,0.05601076,-0.557128686
Gm23935,0.009730689,0.009281925,-0.556965898
Ndufs4,0.000894249,0.000674391,-0.556431454
Phf7,0.001514333,0.001487248,-0.555773538
Atp10d,0.001092661,0.001035805,-0.555489269
Ccnb2,0.032073179,0.040882871,-0.555423638
Retreg3,5.19E-05,4.83E-05,-0.555377491
Prkcq,4.12E-10,3.57E-10,-0.555368669
Hspbap1,0.000117636,0.000120712,-0.555318317
Rrp12,2.52E-05,2.40E-05,-0.554903909
Maneal,0.013508672,0.013381601,-0.554511146
Ranbp10,0.007174829,0.006801492,-0.553955079
Nme2,0.002604398,0.002579899,-0.553393153
Vapb,0.010130441,0.009026517,-0.552636738
2310009A05Rik,0.010105275,0.011009229,-0.552360495
Zc3h10,0.001032007,0.000919548,-0.55192209
Fxn,0.000336158,0.000331556,-0.551472671
mt-Nd6,0.006789815,0.006206867,-0.55114195
Nbn,0.000306309,0.000240111,-0.551028029
Prkcb,1.02E-06,8.87E-07,-0.55084044
9330175E14Rik,0.00216204,0.002744179,-0.550374384
Birc3,0.003285987,0.00312627,-0.550216696
Dnajc28,0.031363961,0.031068932,-0.550150172
Mbtd1,0.000587906,0.000358699,-0.549688743
Mfsd2a,0.032729715,0.027395968,-0.549333378
Isg20l2,0.000228959,0.000172668,-0.54919772
Thoc7,2.02E-07,1.23E-07,-0.54896852
Zscan2,0.019462948,0.019279867,-0.548924865
AA474408,0.011771453,0.011213621,-0.548709829
Ggnbp1,0.042894365,0.066346206,-0.548672946
Gadd45a,0.001471763,0.001346887,-0.548420274
Fam118a,0.004107565,0.003759048,-0.54818814
H2-T10,0.000168455,0.000164233,-0.546253439
mt-Nd5,0.006506413,0.004035535,-0.546179136
Erh,0.000787053,0.000767326,-0.545227059
Shcbp1l,0.042527765,0.064318732,-0.544789144
Trdv1,0.037358528,0.035588161,-0.544223818
Gm5617,0.006381554,0.006321525,-0.544149949
Gm16675,0.018320355,0.025372166,-0.543963028
Rsl24d1,3.98E-05,3.12E-05,-0.542398032
Gltp,3.84E-06,2.44E-06,-0.541271685
Hibadh,0.00011443,0.000109153,-0.540937992
Rpl37rt,0.006504697,0.008256118,-0.540887211
BC030867,0.053917996,0.080437332,-0.540486445
Tmed9,0.004722725,0.002891624,-0.540399966
Ltv1,3.91E-05,3.64E-05,-0.540382101
Ptma,0.000222629,0.000136311,-0.540269072
Trav3-4,0.042489796,0.115601784,-0.540180661
Slc16a1,0.003384664,0.003228568,-0.539885732
Paip2,2.12E-06,1.30E-06,-0.53912438
Aig1,0.001815811,0.001783335,-0.539070926
Gm26756,0.050743308,0.083445222,-0.538473646
Rrp9,5.18E-07,4.93E-07,-0.538215228
D130040H23Rik,0.013277758,0.013152859,-0.537675577
Abraxas1,0.000705562,0.000692943,-0.537645848
Gm11131,0.000842352,0.000917703,-0.537386266
Klhdc3,0.000267833,0.000255481,-0.53655939
Nop2,0.000260084,0.000248089,-0.536260747
Khk,0.002921531,0.003708167,-0.536046692
Mrrf,0.005433317,0.005919347,-0.535455841
Dapk1,0.05654475,0.072076163,-0.535425497
Asrgl1,2.33E-05,2.40E-05,-0.535312136
Slc15a2,0.024943408,0.031794732,-0.534773064
Cfl1,0.0002038,0.000126405,-0.534639402
Irgm2,0.002726941,0.002678169,-0.534205143
Gpd1l,0.005260525,0.005004836,-0.533266209
E230001N04Rik,0.01426479,0.013588802,-0.533148349
Rassf2,0.000201185,0.000191407,-0.531666798
Gstk1,0.009731979,0.009640434,-0.531584184
Espl1,0.040500631,0.038581365,-0.53092678
Scg5,0.025561141,0.029823076,-0.530650385
Polr1e,1.06E-05,9.71E-06,-0.530291883
Smurf1,0.000966715,0.000898947,-0.530014291
Nhp2,0.001999842,0.002579073,-0.529644199
Eif3e,0.000191464,0.000117229,-0.529060343
Mrpl12,0.000310619,0.000284263,-0.528618811
Rps13,0.000660404,0.000572569,-0.528430585
Slc44a2,4.54E-07,2.78E-07,-0.528416471
Dnd1,0.030710854,0.083911664,-0.528110127
Zfp874a,0.003312966,0.003267606,-0.527199139
Ube2d1,1.71E-05,2.21E-05,-0.527017647
Zfp593,0.014454006,0.014831867,-0.52614452
Ppia,7.23E-05,4.43E-05,-0.526133543
Lrp5,0.046437455,0.064312009,-0.525929299
Zfp512b,0.003081201,0.00274544,-0.525909357
Ccdc117,0.000476697,0.000294409,-0.525347502
Syne4,0.034805023,0.040608236,-0.52533494
Cep131,0.005873226,0.007454621,-0.525331412
Lap3,0.001344535,0.001230454,-0.525172534
Parp3,0.005684857,0.00542268,-0.524961398
Adamtsl2,0.059484137,0.06940222,-0.524420676
Eef1aknmt,8.81E-08,8.07E-08,-0.523900659
P2ry10b,0.001709711,0.00186265,-0.523073579
Atxn7l2,0.004195146,0.004120114,-0.522136898
Impdh2,0.001546346,0.001994226,-0.521662277
AB124611,0.00207081,0.001845152,-0.521232531
Tapt1,2.86E-07,2.71E-07,-0.521195325
Ier2,0.004473595,0.003878598,-0.520949391
2410002F23Rik,0.002970076,0.00281553,-0.520378682
Cdca7,0.025486751,0.024847949,-0.519912706
4930426L09Rik,0.045582357,0.068001845,-0.519201502
Rnmt,0.000104325,7.87E-05,-0.518842412
Arhgap29,0.056076086,0.046937734,-0.518275889
Slc25a26,0.003999512,0.004104069,-0.518003991
Ccs,0.000650797,0.000579879,-0.517657226
Ndufaf6,0.004738827,0.004694251,-0.517583009
Dscc1,0.029310401,0.029034688,-0.517101772
Dus4l,0.012001541,0.015233014,-0.517007558
Gpr3,0.055048915,0.064227492,-0.516752853
Gm26571,0.048020813,0.066504827,-0.516418231
Pbdc1,0.000552474,0.000538627,-0.51542575
Pcgf5,0.000666674,0.000859769,-0.515416571
Tmem221,0.008166698,0.008380195,-0.514619961
Gm5513,0.03081352,0.03595121,-0.514554799
Kyat1,0.005813231,0.007409978,-0.514258195
Stk11,0.021582675,0.021041725,-0.513734963
Pdap1,0.002003434,0.001222357,-0.513383041
Cisd2,9.63E-06,8.80E-06,-0.513280846
Gab3,0.008013044,0.007333156,-0.512335655
Ube2d2a,6.52E-05,5.11E-05,-0.512318298
Parp11,0.013722127,0.013378195,-0.512190128
Kif22,0.0205574,0.022396335,-0.51070635
Tmcc3,0.056428805,0.055898,-0.510537853
Epb41l4aos,0.0039522,0.005016349,-0.510107931
3110001I22Rik,0.00603804,0.005930047,-0.510085344
1810026B05Rik,0.002019261,0.0012471,-0.509791999
Nme1,0.002117715,0.001935896,-0.509783589
Eef1a1,0.002506459,0.001534651,-0.509109272
Doc2g,0.024300765,0.026474557,-0.508870578
Riox1,0.000276512,0.000252771,-0.507962094
Zfand2a,0.006613127,0.006045349,-0.507906799
Smoc1,0.056548347,0.078314752,-0.507828144
Gm19569,0.034017649,0.028474016,-0.507227545
Gm9821,0.063600021,0.096188283,-0.507051627
Srrt,0.00163093,0.001555714,-0.506241566
Dera,0.000559768,0.000721898,-0.504642029
1110038B12Rik,0.014086638,0.011791031,-0.504237521
Gm49616,0.037023741,0.100730316,-0.503989093
Gm15503,0.033702375,0.032105268,-0.503408406
Trbj2-4,0.019692371,0.019507132,-0.502644854
Sdad1,0.000151204,0.000194998,-0.502386607
Pum3,0.000437855,0.000415071,-0.501980534
Nsun2,3.18E-07,2.01E-07,-0.501678707
Kti12,1.83E-05,2.36E-05,-0.50117962
Vmn2r97,0.005180347,0.005131617,-0.50028458
Cep162,0.000637121,0.000388727,0.500007882
Prrg2,0.025404417,0.021264426,0.500132378
Actn4,7.23E-10,4.59E-10,0.500433647
Uggt1,1.87E-06,1.14E-06,0.501143197
Nucb2,0.012854405,0.016385186,0.50144499
Selplg,0.001030356,0.000639067,0.501971513
Tmem181a,0.004152232,0.00527024,0.502726144
Far1,0.000423069,0.000401055,0.503329881
Pttg1,0.000220097,0.000209399,0.503630639
Abca7,0.001133356,0.000702952,0.503634288
Mir23a,0.047497063,0.12977684,0.504094221
Fgd6,0.019568813,0.019384737,0.504398406
2610301B20Rik,0.012232948,0.012552746,0.50488564
Inmt,0.062155957,0.169829527,0.505338549
Ltb4r1,0.063657798,0.108477875,0.505844035
Smox,0.00236803,0.001856264,0.505850307
Apaf1,0.000100138,7.55E-05,0.506106919
Pdxdc1,0.000185963,0.00017025,0.506183729
Casp4,0.013657964,0.014015015,0.506497908
Itgal,7.03E-06,4.46E-06,0.507023533
Mif4gd,0.000317551,0.000368753,0.507155048
Ralbp1,0.000493653,0.000470886,0.507561867
Clic1,0.000137347,8.41E-05,0.508152289
Cant1,0.0009165,0.001064275,0.508585679
