,pvalue,weighted_pvalue,log2FoldChange
Emilin1,7.30E-09,7.12E-09,-2.763674429
Gm16793,0.000111388,0.000166174,-2.761359632
Ppic,5.73E-32,5.65E-32,-2.75428379
Xkrx,5.69E-07,6.19E-07,-2.750324967
Trim30c,2.50E-08,2.47E-08,-2.746471017
H2-Oa,3.75E-13,3.85E-13,-2.745783731
Pitpnm2,3.18E-40,3.15E-40,-2.738447716
Cyp2d22,2.66E-07,2.54E-07,-2.735777733
Gm4258,1.12E-05,1.22E-05,-2.710441144
5830468F06Rik,2.51E-23,2.49E-23,-2.696254926
Raver2,1.44E-16,1.42E-16,-2.694535729
Ptpn14,0.000327969,0.000382652,-2.681849268
Ddc,3.80E-08,3.90E-08,-2.674785288
Hoxa7,0.000179331,0.000489989,-2.670588913
Ramp1,3.27E-06,2.99E-06,-2.670046231
G430095P16Rik,6.29E-09,6.45E-09,-2.655495258
Galnt9,1.52E-20,1.92E-20,-2.650405132
Map7,1.19E-13,1.17E-13,-2.648164535
Prodh,0.00026887,0.000731514,-2.642686814
Airn,2.25E-08,2.23E-08,-2.632201898
Il6st,6.31E-49,4.00E-49,-2.630847596
Mid1,7.29E-08,1.98E-07,-2.62643177
Gata1,0.000118673,0.00013846,-2.621895857
Klf3,2.12E-16,1.84E-16,-2.608112746
Cnr2,1.03E-05,1.02E-05,-2.604650093
Dmwd,0.000144907,0.00013804,-2.589308471
Kcnh3,7.78E-06,7.99E-06,-2.589254623
Bach2,4.20E-45,4.00E-45,-2.585062846
Sfmbt2,5.95E-11,6.48E-11,-2.584076851
Pacsin1,1.68E-29,1.32E-29,-2.578273716
Ephx1,1.50E-30,9.14E-31,-2.575177413
Rasal1,1.82E-17,1.87E-17,-2.574527501
Gm11738,7.58E-05,0.000124571,-2.570614377
Cpm,1.07E-26,9.81E-27,-2.555862158
Depdc1b,2.10E-14,2.67E-14,-2.53900337
Gm5134,6.86E-05,0.000187543,-2.535049561
Tnfrsf26,1.97E-22,1.80E-22,-2.53240524
Ggt1,2.42E-24,2.22E-24,-2.520352902
Btla,7.36E-19,6.74E-19,-2.519834278
Ggt7,4.95E-08,4.14E-08,-2.498191768
Zfp2,9.89E-05,0.000136934,-2.480945582
Ccdc162,3.35E-05,9.16E-05,-2.480544963
A930005H10Rik,5.21E-41,5.16E-41,-2.479324497
Dgkeos,0.0007059,0.001928741,-2.475702806
Tspan9,5.77E-10,5.92E-10,-2.473815374
E230032D23Rik,4.78E-08,4.73E-08,-2.468834162
Lhfpl1,0.000135515,0.000209606,-2.458936559
Gm20324,5.56E-27,7.09E-27,-2.458690387
Ighm,5.48E-26,3.40E-26,-2.455646571
Fhit,7.34E-09,2.00E-08,-2.453993825
Pdk1,4.59E-42,2.91E-42,-2.427335987
Irf6,1.55E-07,1.97E-07,-2.422836109
Itgad,5.58E-05,7.73E-05,-2.414931293
Usp28,4.51E-12,4.29E-12,-2.408522521
2900005J15Rik,4.69E-05,5.11E-05,-2.407473467
Dntt,0.000845093,0.000867185,-2.398685432
Tcf7,2.49E-33,1.52E-33,-2.3980467
Prss12,1.69E-14,1.66E-14,-2.392241655
Cdr2l,2.14E-06,2.12E-06,-2.391048675
Selp,0.000234478,0.000399568,-2.374833071
Ccdc148,0.000297743,0.000460529,-2.369572917
Acoxl,7.40E-13,9.40E-13,-2.365021581
Mapk11,3.35E-08,3.29E-08,-2.351047538
Gm13012,1.78E-06,1.77E-06,-2.346562727
Pcsk1,0.000324915,0.000309518,-2.34539964
Eomes,7.11E-09,6.51E-09,-2.344217089
Rundc3a,8.76E-17,9.55E-17,-2.341302994
Gm11998,4.20E-06,1.14E-05,-2.329080515
Gm47230,0.000205294,0.000306268,-2.325661834
Slc25a27,2.22E-11,2.19E-11,-2.31730867
A630014C17Rik,1.12E-09,1.11E-09,-2.311497937
Sh3bp5,1.23E-22,7.60E-23,-2.31056661
Vangl2,0.000885076,0.002408023,-2.298782172
Syde1,2.66E-05,2.90E-05,-2.287442529
Trim2,3.49E-07,3.33E-07,-2.284420265
Hcn3,1.43E-23,1.56E-23,-2.282543265
Mpp4,0.00069187,0.001882369,-2.282134213
Olfr524,0.0007115,0.001170032,-2.280093665
Mettl27,5.99E-11,7.64E-11,-2.267255651
Trdv2-2,1.18E-06,3.23E-06,-2.260496235
Gm36931,5.45E-05,5.60E-05,-2.252390561
Rorc,0.001237663,0.00122602,-2.234901492
Sall2,0.000367681,0.000400572,-2.227894884
Ift80,1.32E-40,8.06E-41,-2.227671969
Gm26771,5.14E-06,8.75E-06,-2.225489876
Gpr18,1.61E-36,1.52E-36,-2.224473328
Klra13-ps,0.001065949,0.001161302,-2.221399198
Cpq,1.85E-12,1.90E-12,-2.218629618
Fcgrt,6.65E-13,8.58E-13,-2.214731429
Rasgrp2,5.08E-48,3.11E-48,-2.212028407
S1pr1,8.46E-17,5.18E-17,-2.209469227
Igf1r,1.18E-08,1.50E-08,-2.200485518
Gm9889,2.17E-06,2.37E-06,-2.19904071
Tlr12,1.34E-08,1.30E-08,-2.185698931
Tbc1d30,4.52E-13,5.76E-13,-2.184356868
Lrrc24,0.000245336,0.000369467,-2.171032527
Mpst,0.000251914,0.00034888,-2.165544491
Bend4,4.40E-09,4.29E-09,-2.165381696
Rras2,1.14E-29,1.06E-29,-2.15015045
Klf2,7.81E-22,4.95E-22,-2.149899462
Pou2af1,8.96E-05,0.000113736,-2.14264613
Fam222a,2.18E-05,1.83E-05,-2.141275255
Nrg2,1.81E-05,2.11E-05,-2.136178121
Rragd,7.36E-07,7.29E-07,-2.132937403
Gpr146,6.08E-22,5.57E-22,-2.123309473
Abtb2,7.67E-72,4.75E-72,-2.122025407
Dnajc27,3.94E-17,3.87E-17,-2.1166123
Slc6a19os,0.000441217,0.000682446,-2.11396765
Itga7,0.000866164,0.001339726,-2.110008266
Ppp1r1b,0.001416807,0.00213366,-2.109456768
Dusp10,3.09E-15,1.91E-15,-2.106814207
Pls1,0.000924223,0.002525268,-2.104688117
Gm35065,6.24E-05,5.23E-05,-2.10334717
Nedd4l,1.22E-52,9.55E-53,-2.096084932
Ralgps2,1.01E-18,9.81E-19,-2.095297785
Mogat1,0.00061354,0.000948984,-2.086617357
Rgmb,3.79E-17,4.81E-17,-2.080003075
2010204K13Rik,6.66E-06,9.22E-06,-2.078742141
Cd55,1.16E-14,8.76E-15,-2.071967351
Tgtp1,2.04E-09,2.10E-09,-2.06869935
Pemt,1.55E-05,2.64E-05,-2.063128765
Bach2os,0.001629657,0.002679902,-2.058330334
Ramp3,4.32E-06,4.28E-06,-2.052797816
Gm12185,1.35E-08,1.32E-08,-2.048377624
Rwdd3,0.000142966,0.000388966,-2.047467465
Gm5511,1.97E-15,1.64E-15,-2.045475982
Tpbgl,3.65E-06,3.62E-06,-2.044054477
2610307P16Rik,0.001537945,0.001465064,-2.04318891
Armcx2,4.08E-31,4.04E-31,-2.042960592
Irs2,6.93E-10,4.30E-10,-2.040071023
