"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"HMGB3P22",39.0267511137158,-1.09123541846167,0.392817805529533,0.00253197072585596,0.00517381301842076,"HMGB3P22"
"RASGEF1C",93.9624730772652,-3.82352099604677,0.497251681913554,9.46886452292808e-16,5.54357985050057e-15,"RASGEF1C"
"MAPK9",3155.22211836332,-1.90059650276145,0.167173538872064,1.1254009741944e-30,1.30074322764723e-29,"MAPK9"
"GFPT2",1633.13038517194,-2.85311517166436,0.413636221768563,6.69071854855797e-13,3.30329155759059e-12,"GFPT2"
"CNOT6",1343.7891648406,-0.70875794567662,0.114352910769119,4.16389558842512e-10,1.69238803218447e-09,"CNOT6"
"FLT4",2300.31552721412,-1.16139649583643,0.419360114425692,0.0023881048679466,0.00489823556023488,"FLT4"
"LINC00847",810.179256730963,-0.753413841284824,0.189061500653498,4.66568246672622e-05,0.000119967379284115,"LINC00847"
"BTNL9",11900.9372871203,-1.41849897168229,0.45713554656425,0.000597340806847825,0.00133866733080049,"BTNL9"
"TRIM7",209.35057684844,-1.03372300325229,0.432263628423592,0.0083040626374467,0.0156617479494298,"TRIM7"
"TRIM41",3512.47013628291,-0.635895925105631,0.163893480546426,8.05805135668161e-05,0.00020133233613582,"TRIM41"
"TRIM52-AS1",508.519316275563,-0.936419450560519,0.218498943993515,1.0276885218763e-05,2.84022008309191e-05,"TRIM52-AS1"
"EXOC2",1436.70342152393,-0.691973110814755,0.128310936391195,5.11901543841768e-08,1.75750555963795e-07,"EXOC2"
"FOXQ1",237.188781967482,-2.30161357715018,0.781287053680201,0.000450948513509144,0.00102952779026475,"FOXQ1"
"FOXF2",196.553281022543,-6.59817815269706,0.543652347134425,3.03503161209392e-35,4.20501628584199e-34,"FOXF2"
"FOXC1",1036.58454486957,-3.90538272545587,0.485312655801774,5.07941720054956e-17,3.17510471582157e-16,"FOXC1"
"MYLK4",205.01524613606,-0.66653453395486,0.218242431089244,0.00167382249633254,0.00351093631640369,"MYLK4"
"WRNIP1",1966.27312934539,-0.510995867927669,0.128524277100869,5.95174277808053e-05,0.000150983969375337,"WRNIP1"
"LINC01011",154.506068380313,-2.06780688074092,0.42266325552735,1.67672443148767e-07,5.50423049823671e-07,"LINC01011"
"TUBB2A",2278.88318209906,-2.08607189643742,0.33453461389057,7.57527010112248e-11,3.24972900832017e-10,"TUBB2A"
"TUBB2B",3151.59461666419,-7.26535990838572,0.413868969412844,3.45091330819563e-70,1.46026355223328e-68,"TUBB2B"
"LOC100507336",28.1975155158751,-6.87128530558724,0.997441308023503,2.19261909932206e-13,1.11597938688682e-12,"LOC100507336"
"FAM50B",807.087724466004,-0.948554763641631,0.230549861758619,2.15712984877873e-05,5.76502413181944e-05,"FAM50B"
"CDYL",982.168499491568,-0.838740812678203,0.121309339603389,2.99702421934061e-12,1.42117255860935e-11,"CDYL"
"PPP1R3G",640.267712829243,-1.25904511743549,0.516199990827422,0.0056061811047273,0.0108708961123808,"PPP1R3G"
"LYRM4",1078.45531582607,-1.01144921926777,0.167096694359076,7.31841281774205e-10,2.92611657897831e-09,"LYRM4"
"NRN1",2354.97940369807,-2.53333233819606,0.396972312077879,2.47706831421312e-11,1.10350695027242e-10,"NRN1"
"F13A1",3356.43868249277,-1.74848273642533,0.417779767721809,6.13265512503929e-06,1.73453029794441e-05,"F13A1"
"LY86",133.523037923021,-2.00426025541874,0.589331891050598,0.000118139381162803,0.000289593090826865,"LY86"
"BMP6",1136.99175618977,-3.59774274230069,0.436786595339435,1.38971172906726e-17,8.96661314051082e-17,"BMP6"
"EEF1E1",458.620295824151,-0.937842987769951,0.202426185538165,2.03176926231344e-06,6.02745025461573e-06,"EEF1E1"
"SYCP2L",73.0605538740547,-1.33214147558397,0.36653770995053,9.53512946164654e-05,0.000236184381551208,"SYCP2L"
"SMIM13",1469.76101361438,-1.40259001339056,0.233993214448932,6.28549668912035e-10,2.52305965253531e-09,"SMIM13"
"NEDD9",5023.14284687013,-0.866888245984594,0.378139055921057,0.0130449242581309,0.0237390817926458,"NEDD9"
"EDN1",1591.57571215749,-1.47019889620437,0.441653715282986,0.000254975669341997,0.000601078901102029,"EDN1"
"PHACTR1",2505.90775977137,-6.0058642252948,0.2788074173173,2.41961836044346e-104,2.48210480093033e-102,"PHACTR1"
"GFOD1",2573.07562469648,-0.957075805194864,0.242994560082858,4.50059086608333e-05,0.000115888693303719,"GFOD1"
"NOL7",1694.03875363541,-0.788131519650428,0.137715008878953,7.03057497179880e-09,2.59883563493761e-08,"NOL7"
"RANBP9",2169.88413358284,-0.508850307254982,0.133983383288405,0.000123862273832326,0.000302890432366119,"RANBP9"
"RNF182",231.859584103242,-8.49403241422668,0.729071891954333,1.73465580675835e-32,2.16066060770673e-31,"RNF182"
"CD83",606.42653558262,-1.91591861422589,0.456822313407277,5.12221686963068e-06,1.46245507794057e-05,"CD83"
