"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"C10orf67",32.7208625133835,-4.25561317680171,0.695638622307544,4.02599596320265e-11,1.65577779442353e-10,"C10orf67"
"ENKUR",185.52091375871,-2.62615440108642,0.448483808481758,6.44817189340277e-10,2.42928716552865e-09,"ENKUR"
"THNSL1",685.132430246514,-3.31288169581999,0.118185454139217,1.05752052766952e-173,2.13374025937135e-171,"THNSL1"
"APBB1IP",2225.84252058223,-0.684686896707181,0.25580406440915,0.00470606578015057,0.00906147419097816,"APBB1IP"
"FAM238C",144.65484386706,-2.0176805021859,0.361114410765488,3.07257927634967e-09,1.10248819706213e-08,"FAM238C"
"ACBD5",2877.20526891945,-1.39961711294473,0.160918222485204,7.03621819278608e-19,4.43468058915212e-18,"ACBD5"
"BAMBI",544.595932295045,-2.80678125570153,0.268233240252677,2.12454652232255e-26,1.87456006068929e-25,"BAMBI"
"PARD3-AS1",13.9081010382893,-1.71238163198078,0.434148026797461,1.25803516654895e-05,3.31734095717907e-05,"PARD3-AS1"
"ZNF33A",2299.39222958446,-0.518629621975734,0.148607977209886,0.000372707974547145,0.00083280483025507,"ZNF33A"
"HSD17B7P2",378.99126962422,-1.06343475281308,0.257874263522707,1.38016167687357e-05,3.62713584139629e-05,"HSD17B7P2"
"ZNF33B",1120.07940676625,-1.14849173382768,0.150920422830262,8.79482500107057e-15,4.49206929266751e-14,"ZNF33B"
"HNRNPF",6006.44600636377,-0.531260134965725,0.0985375847031345,5.37748412831305e-08,1.75244206799993e-07,"HNRNPF"
"ZNF485",107.247312381883,-1.18169348707025,0.198940684736983,8.63373337188547e-10,3.22199846449332e-09,"ZNF485"
"ZNF32-AS1",16.1463777635795,-0.923617155190654,0.338096145568645,0.00287277861948529,0.00571125260684231,"ZNF32-AS1"
"ZNF22-AS1",154.408062161856,-1.10626409975084,0.153515261153103,1.9889411700639e-13,9.40510175823948e-13,"ZNF22-AS1"
"ZNF22",1136.70167873294,-0.616344717461072,0.124998204685672,5.76272150685392e-07,1.71793381750801e-06,"ZNF22"
"CEP164P1",24.2248110577727,-1.2979876410433,0.365476167038128,9.84610527117409e-05,0.000235964201444868,"CEP164P1"
"ZFAND4",436.318477292972,-0.935628397620779,0.115254237146961,2.19415921333745e-16,1.21876843669557e-15,"ZFAND4"
"AGAP4",355.891899907488,-0.595149513663306,0.173142563007923,0.000418802925979542,0.000929801701218298,"AGAP4"
"TIMM23",1585.86965555579,-0.826305223121579,0.113671522191401,1.96788193137173e-13,9.30985385141342e-13,"TIMM23"
"NCOA4",8783.74288844663,-0.653698459086825,0.161266209576763,3.38911598401816e-05,8.54557615534895e-05,"NCOA4"
"GPRIN2",13.657326897345,-2.97992770927906,0.555480764860174,9.85034214604053e-09,3.39568198872388e-08,"GPRIN2"
"SHLD2P1",31.1939196123425,-2.95584587366207,0.393991976681778,9.33217518249465e-15,4.76173808884717e-14,"SHLD2P1"
"CTSLP2",37.1912426008221,-6.18249639864675,0.566639468380079,2.58933901842451e-30,2.68422565070907e-29,"CTSLP2"
"GLUD1P2",17.7166682979755,-1.67001387516888,0.388616337510954,2.78180606561545e-06,7.80416992643701e-06,"GLUD1P2"
"BMS1P1",235.995271923388,-0.968291041735745,0.196304203667038,3.52602043944989e-07,1.07244948316582e-06,"BMS1P1"
"GDF2",177.768713463543,-9.74007468350086,1.99573553949781,3.5592384304202e-09,1.26992993628776e-08,"GDF2"
"ANXA8",16.3930885883316,-2.17942387938398,0.570770846047946,1.64383819853968e-05,4.2897488989215e-05,"ANXA8"
"AGAP9",866.705150662364,-1.38851210482133,0.21434647782462,1.99416283105841e-11,8.3594054724624e-11,"AGAP9"
"OGDHL",6167.89394408702,-12.5803582007187,0.43226518965872,1.18895847440814e-187,2.92129014837038e-185,"OGDHL"
"AGAP6",1504.93953640265,-1.21427469781355,0.152767544642126,5.37702159657204e-16,2.93062105514777e-15,"AGAP6"
"ASAH2",61.8384281139085,-2.0479655642757,0.251433537209237,5.22880836440314e-17,2.99955007415309e-16,"ASAH2"
