"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"CACNA1S",32.898679873269,-2.73939159194916,0.738653782467176,2.11075182880003e-05,9.42879370829502e-05,"CACNA1S"
"TMEM9",3409.90473187744,-1.43922046003667,0.163993712404239,3.50384750311808e-19,4.65843672306783e-18,"TMEM9"
"LOC107985246",198.395784748689,-1.50309959456387,0.245242805545674,1.78019840328016e-10,1.29144036670505e-09,"LOC107985246"
"SHISA4",1771.60734568345,-3.0726005151894,0.219005954857896,1.20489573457649e-45,5.40633914021366e-44,"SHISA4"
"TIMM17A",2221.8861922302,-0.73633857467847,0.198268377808362,0.000124719023282944,0.000503331834676439,"TIMM17A"
"GPR37L1",2713.27048741931,-9.96539034140816,0.429722864039464,4.75019790731332e-121,1.95834013725862e-118,"GPR37L1"
"ARL8A",2842.6930103346,-1.15355970639395,0.152862422399037,1.35821039163967e-14,1.33401095990103e-13,"ARL8A"
"PTPN7",988.264832682509,-4.56455781469366,0.262687418167413,3.11286213195774e-69,3.15438875913826e-67,"PTPN7"
"UBE2T",130.066453139275,-3.77844324859291,0.415109810150307,4.39295445853183e-21,6.46215792336941e-20,"UBE2T"
"SYT2",409.790537969886,-4.40091364234637,0.392430989914594,9.6311019553688e-31,2.35935095387107e-29,"SYT2"
"ACTG1P25",33.7866354413717,-2.14329848180846,0.630276847260246,9.65028481167129e-05,0.00039544770018772,"ACTG1P25"
"RABIF",456.903523504968,-1.5863448299417,0.183446671122242,1.00092416351804e-18,1.28745538739447e-17,"RABIF"
"TMEM183A",1488.95598783603,-0.903465767744725,0.144117793208866,1.7206207043323e-10,1.24991174207031e-09,"TMEM183A"
"PPFIA4",979.95612303723,-4.89926288912475,0.376592489700492,2.55315104556866e-40,9.49508409275284e-39,"PPFIA4"
"ADORA1",1595.08693593136,-4.27102887533429,0.345981507314459,1.57549985581981e-36,5.00291214914211e-35,"ADORA1"
"MYBPH",25.9556725236411,-2.72814319565637,0.620613018342452,1.26770549112648e-06,6.48163815608284e-06,"MYBPH"
"ETNK2",4526.0935182988,-1.94129076184109,0.313937016176961,1.12293595078843e-10,8.29222528877525e-10,"ETNK2"
"REN",17.4100283077369,-2.55873977968771,0.821178668197952,0.000191662435587028,0.000754742230430264,"REN"
"KISS1",33.1943631297126,-4.33930797796606,0.486081597580102,1.29007102365011e-20,1.8564014267829e-19,"KISS1"
"GOLT1A",1682.56888728713,-8.57604283131546,0.708512945539253,2.86648954982988e-35,8.53488416271877e-34,"GOLT1A"
"PLEKHA6",5426.0609741141,-2.69460774800898,0.328417632886118,3.65469818814051e-17,4.25499317173443e-16,"PLEKHA6"
"LRRN2",580.996776930822,-3.92085738099038,0.185472877228685,1.43020336728814e-100,3.34882812723997e-98,"LRRN2"
"NFASC",5420.98725940317,-2.65047401703964,0.341896633687046,1.45059654118591e-15,1.52273175547557e-14,"NFASC"
"CNTN2",5251.47053135417,-8.50732333500651,0.422299778840565,9.87564907458699e-92,1.78408963712623e-89,"CNTN2"
"TMEM81",188.84717835955,-2.28458256935033,0.169683371234972,5.34711461514365e-42,2.12278249762514e-40,"TMEM81"
"DSTYK",1661.62961058646,-1.04675565407787,0.142178196296525,6.62287017755895e-14,6.2199015384454e-13,"DSTYK"
"TMCC2",1968.52853188522,-4.74314559903806,0.303130389002197,8.26199423395909e-57,5.66880927275984e-55,"TMCC2"
"KLHDC8A",109.005841653121,-5.78198910957663,0.421205641547244,2.33780903940629e-44,1.00234861347344e-42,"KLHDC8A"
"CDK18",3491.83462761604,-4.10133192620975,0.226247684929331,6.67670239664705e-75,7.83578443071217e-73,"CDK18"
"SLC45A3",1543.49741650614,-1.23696682557116,0.273250570849378,1.66079143172954e-06,8.38830101669889e-06,"SLC45A3"
"NUCKS1",14976.4869136416,-0.881500877398681,0.104749069172454,1.92661156068293e-17,2.27937475176701e-16,"NUCKS1"
"SLC41A1",1866.42365110966,-0.990773867839543,0.23387684474036,9.30958699681692e-06,4.34829019842611e-05,"SLC41A1"
"SLC26A9",32.6181048866479,-4.50467402058602,0.75246716562305,5.97891089316724e-11,4.51460186180216e-10,"SLC26A9"
"IKBKE",320.485262284724,-1.15670318879858,0.316434349224391,8.19159885471333e-05,0.000338492050678572,"IKBKE"
"C1orf116",25.6002198056664,-1.11147729897223,0.555974883329403,0.0167914292118118,0.0482464961472483,"C1orf116"
"PFKFB2",1331.11693084619,-2.33333434944477,0.230090418069365,7.22834221193841e-25,1.30145235756943e-23,"PFKFB2"
"C4BPA",8686.15002671391,-1.42840511163671,0.576562217391085,0.00329082767347689,0.0107302827573959,"C4BPA"
"CAMK1G",752.432925627981,-9.41086844275779,0.605013879370356,2.09943214185903e-56,1.41630922185413e-54,"CAMK1G"
"SYT14",159.252516842519,-8.5566258882354,0.573640243556066,7.90454877972324e-52,4.54983186622853e-50,"SYT14"
